r1.time,r1.pontos,r1.vitorias,r1.empates,r1.derrotas,r1.golsPro,r1.golsContra,r1.saldoGols,r1.posicaoAtual,r2.time,r2.pontos,r2.vitorias,r2.empates,r2.derrotas,r2.golsPro,r2.golsContra,r2.saldoGols,r2.posicaoAtual,r1.ultima
Atlético-MG,27,9,0,5,26,18,8,1,Goiás,9,2,3,9,19,29,-10,20,1
Inter-RS,25,7,4,3,19,9,10,4,Athletico-PR,18,5,3,6,12,13,-1,12,1
Sport,20,6,2,6,14,17,-3,8,Botafogo,15,2,9,3,14,16,-2,17,-1
Coritiba,12,3,3,8,10,19,-9,18,Fortaleza,20,5,5,4,14,11,3,9,0
Ceará,15,4,3,7,15,20,-5,14,Corinthians,15,3,6,5,16,18,-2,15,1
Atlético-GO,15,3,6,5,13,19,-6,16,Bragantino,12,2,6,6,15,21,-6,19,1
Flamengo,30,9,3,3,24,17,7,2,Bragantino,12,2,6,7,16,23,-7,19,0
Vasco,19,5,4,6,19,21,-2,11,Fortaleza,21,5,6,4,14,11,3,8,0
Palmeiras,23,5,8,2,19,16,3,7,Coritiba,13,3,4,8,10,19,-9,18,-1
Santos,24,6,6,3,21,17,4,6,Atlético-GO,18,4,6,5,15,20,-5,14,-1
Atlético-MG,30,10,0,5,29,18,11,1,Fluminense,24,7,3,5,22,17,5,5,0
Grêmio,20,4,8,3,16,15,1,10,Botafogo,18,3,9,3,16,17,-1,15,1
Sport,20,6,2,7,15,19,-4,9,Inter-RS,28,8,4,3,21,10,11,4,-1
Athletico-PR,18,5,3,7,13,15,-2,12,Corinthians,15,3,6,6,17,20,-3,17,-1
Ceará,18,5,3,7,17,21,-4,13,São Paulo,29,8,5,2,23,13,10,3,0
Goiás,9,2,3,10,19,32,-13,20,Bahia,15,4,3,8,18,23,-5,16,0
Fluminense,25,7,4,5,23,18,5,5,Ceará,19,5,4,7,18,22,-4,13,0
Botafogo,18,3,9,4,17,20,-3,16,Goiás,10,2,4,10,20,33,-13,20,0
São Paulo,30,8,6,2,24,14,10,4,Grêmio,23,5,8,3,19,16,3,7,0
